species_scientific_name,latitude,longitude,catch_date,quantity,weight_kg,depth_m,water_temperature,fishing_method,vessel_name,notes
Clarias batrachus,21.369595,77.303991,2025-03-05,89,93.73,133.0,25.1,Cast Net,"Meadows, Jensen and Lopez",Wonder American fine great mouth also resource yet.
Pangasius pangasius,27.233544,79.816138,2023-11-16,63,206.76,107.1,24.8,Purse Seine,Davis-Mcintyre,Time cup fall beat.
Tenualosa ilisha,10.945968,82.235836,2025-01-15,4,0.97,124.7,20.8,Purse Seine,Bennett Group,Prove style to.
Pangasius pangasius,13.155309,91.899532,2025-03-26,272,882.78,199.3,19.7,Purse Seine,Day-Watson,Maintain benefit wide move daughter.
Nemipterus japonicus,26.481485,94.420252,2022-10-30,30,102.13,70.8,28.4,Purse Seine,"Thomas, Morales and Garcia",Smile despite world coach.
Labeo rohita,24.371663,81.581075,2024-07-04,258,132.93,107.0,22.1,Trawl,Miller Ltd,Partner sea society whom way something now approach.
Sardinella longiceps,32.82808,72.738032,2024-02-23,261,435.8,49.0,23.8,Trawl,Jackson LLC,Of heart either letter herself include so when.
Mystus tengara,28.778481,75.768697,2025-06-16,211,136.66,164.0,18.0,Cast Net,Ellis Inc,Machine ground understand.
Labeo rohita,13.256346,71.56142,2023-09-13,135,661.8,35.8,28.5,Hook and Line,"Johnson, Munoz and Franklin",Worker step respond decade.
Catla catla,20.06009,95.963687,2024-06-10,192,937.84,74.7,31.5,Trawl,Carrillo Group,Affect perform entire black nature.
Pangasius pangasius,25.807115,82.465874,2023-11-05,116,153.19,128.6,27.6,Cast Net,Warner-Dillon,Modern coach floor magazine list.
Sardinella longiceps,24.626867,71.444467,2024-12-10,192,738.48,187.1,24.8,Hook and Line,"Johnson, Hughes and Smith",Red spring sign.
Tenualosa ilisha,31.634184,95.535386,2023-08-06,229,851.05,59.2,19.8,Purse Seine,"Myers, Ortiz and Oliver",Already themselves throw hit partner question.
Labeo rohita,22.764549,93.68537,2024-04-25,213,846.85,57.4,24.5,Cast Net,Cruz LLC,Subject country into power as Mr blood.
Sardinella longiceps,35.214579,75.031889,2025-04-18,115,531.99,140.0,20.3,Gillnet,"Rubio, Lopez and Reese",Agree anyone common.
Catla catla,14.674486,75.649179,2024-05-14,241,1007.59,107.6,30.0,Gillnet,Swanson Ltd,Industry white door.
Catla catla,25.774508,84.940086,2023-07-27,142,167.88,41.9,18.4,Gillnet,Fowler-Baker,Information whose up in start important section.
Catla catla,11.567662,78.695326,2025-08-10,291,1310.47,123.1,24.0,Cast Net,Sharp-Gonzales,Role moment serious significant next wonder late.
Sardinella longiceps,8.229674,77.894946,2023-08-14,23,105.42,69.4,22.9,Trawl,Perry-Harrison,Heavy discover any road surface magazine.
Tenualosa ilisha,25.689594,85.089899,2025-09-11,167,129.39,167.1,28.5,Hook and Line,Fernandez Inc,Actually site reveal without PM visit act.
Penaeus monodon,29.115449,90.581857,2025-06-06,218,350.85,188.5,25.3,Purse Seine,Wheeler and Sons,Peace start two to.
Catla catla,22.914935,94.107278,2023-09-22,220,934.87,138.1,28.1,Gillnet,Williams Inc,Hot my next fish attorney.
Mystus tengara,22.722054,73.353786,2023-06-29,202,163.99,8.0,24.3,Cast Net,"Maynard, Martin and Gray",Along structure who name reduce behavior.
Catla catla,16.847804,69.876206,2024-07-15,247,602.19,86.2,26.1,Purse Seine,Black Inc,Better product series population street.
Catla catla,33.495424,92.73605,2025-08-13,70,285.0,16.1,21.5,Trawl,Savage-French,Born then question fill.
Pangasius pangasius,16.56315,80.211273,2024-05-15,29,64.17,128.3,24.3,Hook and Line,"Adams, Smith and Rodriguez",All husband truth half traditional material fly.
Catla catla,19.161979,74.655117,2024-11-29,39,41.43,75.7,28.8,Hook and Line,Freeman-Wilson,Myself about discover cut company interest.
Scomberomorus guttatus,13.681301,81.969811,2024-01-20,264,189.78,169.4,20.0,Trawl,Shah-Henderson,Every vote wish language act.
Pangasius pangasius,29.536009,86.752389,2025-09-09,53,213.46,36.2,30.6,Cast Net,Pacheco-Hardy,Environmental city research travel food report training.
Nemipterus japonicus,12.545495,92.841371,2024-01-09,87,394.18,89.3,21.6,Gillnet,Williams Inc,Despite relate area cause inside picture.
Nemipterus japonicus,16.635676,85.520189,2024-03-02,86,98.26,26.2,22.5,Trawl,"Hill, Harris and Jones",None even feel serve movement.
Scomberomorus guttatus,26.963345,89.768395,2024-05-16,283,270.01,143.5,29.4,Trawl,"Leblanc, Barton and Frye",Respond next claim.
Mystus tengara,18.035503,86.207175,2024-11-24,7,4.76,147.0,23.6,Hook and Line,Michael-Butler,Property rest add low garden month decision manage.
Sardinella longiceps,25.698447,90.139311,2024-02-03,193,628.8,138.7,28.2,Cast Net,"May, Baxter and Lester",Recent practice attention standard than.
Sardinella longiceps,31.38384,71.466551,2024-07-23,187,820.94,115.1,22.4,Gillnet,Clark PLC,Effect red nearly good.
Sardinella longiceps,20.261484,77.283099,2024-08-12,151,648.85,89.8,20.4,Gillnet,Wright-Nolan,Too receive enter actually goal personal Congress.
Clarias batrachus,19.691915,77.615729,2022-11-20,267,1243.39,149.6,25.0,Gillnet,Higgins LLC,Your bad teach show real.
Tenualosa ilisha,12.509768,96.961645,2022-11-25,57,191.05,168.5,31.6,Hook and Line,"Boyd, Martinez and Sanders",Test floor top our.
Mystus tengara,35.866313,80.891105,2023-05-16,218,356.97,130.3,30.1,Hook and Line,Rush LLC,Under space model quickly.
Nemipterus japonicus,36.996116,81.84282,2024-04-21,230,791.78,170.8,22.5,Purse Seine,"Wilkinson, Burnett and Weaver",Quickly shoulder available mean site full.
Penaeus monodon,14.81809,81.085996,2023-04-16,211,273.36,45.9,20.4,Purse Seine,Porter Inc,Road pattern data certain huge.
Catla catla,10.518308,88.726142,2023-04-30,69,37.12,95.4,18.3,Trawl,Patel Ltd,Ability she theory public.
Nemipterus japonicus,32.035717,94.476211,2022-09-28,153,363.86,109.7,18.5,Trawl,Vance-Dickerson,Box take degree PM population.
Pangasius pangasius,34.869257,81.791831,2024-12-27,104,119.91,2.3,26.6,Gillnet,Kerr Ltd,Forget war increase condition garden small.
Scomberomorus guttatus,15.889487,70.995535,2023-12-02,31,37.66,194.2,27.6,Hook and Line,Ramirez and Sons,Could fire attention war others big college system.
Labeo rohita,34.148877,81.451323,2023-06-18,235,1111.15,162.4,22.4,Hook and Line,Wright-Guerrero,Risk our girl would.
Sardinella longiceps,6.606649,85.196302,2024-10-23,257,977.51,191.3,23.2,Cast Net,Perez-Wolf,Require line program strategy stage financial term.
Clarias batrachus,27.283131,85.894327,2025-03-19,93,400.98,83.3,23.8,Gillnet,"Archer, Peterson and Perez",Four pressure whom reach.
Tenualosa ilisha,26.928153,68.040309,2025-06-25,275,808.19,178.5,30.4,Trawl,"Myers, Dean and Daniels",Consumer task for effect else name.
Sardinella longiceps,34.044986,75.107927,2024-07-11,231,834.93,52.3,22.7,Cast Net,Alexander LLC,Society on instead piece former community know subject.
Sardinella longiceps,10.658426,70.826719,2025-08-28,147,662.13,115.8,29.1,Hook and Line,"Olson, Kelly and Smith",Serve exist standard energy who seat while write.
Catla catla,22.852437,86.620779,2025-07-08,250,611.73,35.7,30.4,Hook and Line,Alexander Inc,President half goal skin idea much.
Scomberomorus guttatus,26.100821,87.579759,2023-06-16,88,27.19,165.0,24.1,Gillnet,Rice-Mcclure,Decide call stock.
Nemipterus japonicus,36.363279,69.284062,2024-12-23,218,806.99,76.8,27.1,Cast Net,"Cook, Gonzalez and Johnson",Require pattern our need figure artist lead.
Mystus tengara,12.255557,81.429236,2024-12-19,299,688.32,179.8,28.5,Purse Seine,"Clark, Bailey and Ramirez",Nearly attention charge personal become boy.
Nemipterus japonicus,8.827015,81.11556,2023-05-09,151,412.76,161.0,22.8,Purse Seine,"Thompson, Cummings and Soto",Image style guy as various newspaper.
Penaeus monodon,15.911803,96.129756,2025-01-14,114,340.79,46.4,20.2,Purse Seine,Garcia Inc,Single drop ready movie perhaps.
Sardinella longiceps,6.918778,93.327825,2023-12-01,89,297.49,36.1,28.4,Hook and Line,Garcia-Williams,Without I thousand.
Pangasius pangasius,22.345842,95.373713,2024-07-02,70,74.48,15.0,25.9,Purse Seine,Miller-Armstrong,Simple class sign send.
Scomberomorus guttatus,26.534142,83.7255,2023-10-02,34,7.47,28.6,29.0,Trawl,"Gomez, Tran and Weber",Party effort so stage my.
Nemipterus japonicus,6.22792,72.197362,2023-02-26,170,454.86,119.5,21.6,Purse Seine,Kelley LLC,Show fact space ok board page who.
Clarias batrachus,16.082131,79.992105,2023-05-22,289,1375.97,16.3,24.5,Purse Seine,Brown-Mendez,Evening American similar talk mission.
Tenualosa ilisha,7.550864,74.831741,2023-02-19,227,348.37,40.7,26.2,Cast Net,Cox Ltd,Month another maintain religious main off white.
Scomberomorus guttatus,8.646875,95.846549,2025-02-15,118,279.15,65.1,22.7,Purse Seine,"Murray, Fernandez and Vaughn",Have whom win election current ahead.
Clarias batrachus,14.471808,94.919631,2025-08-10,169,105.15,74.8,18.5,Gillnet,Bridges-Buckley,Develop between production agree speech idea piece.
Catla catla,26.154318,83.271623,2025-04-08,103,78.58,155.7,27.7,Trawl,"Burns, Foster and Romero",Someone necessary position.
Tenualosa ilisha,8.629419,80.755896,2024-10-11,57,249.79,45.0,18.9,Cast Net,Colon-Hopkins,Nor phone lay.
Mystus tengara,10.308761,68.218819,2023-06-03,25,13.01,182.2,27.9,Hook and Line,Clark-Garcia,Girl remain song design most the.
Tenualosa ilisha,14.721096,87.76257,2022-09-25,103,338.49,100.9,25.2,Hook and Line,"Bryant, Mcconnell and Osborne",Own everything research risk seven choice yourself.
Mystus tengara,26.91286,80.316421,2023-06-02,289,1401.4,127.1,20.6,Purse Seine,"Montgomery, Smith and Mcbride",Operation radio traditional kind improve.
Clarias batrachus,30.999014,91.968441,2023-06-15,164,481.45,110.1,18.4,Gillnet,Dudley-Hammond,Energy affect lose I avoid central four.
Sardinella longiceps,14.283695,70.154022,2024-05-18,160,153.74,72.6,25.4,Purse Seine,"Taylor, Werner and Henry",Age her glass former cost eight room.
Mystus tengara,13.473676,82.032185,2025-09-12,26,14.43,142.0,26.6,Cast Net,Clay Group,Century last truth each PM.
Labeo rohita,10.221493,80.460765,2023-03-22,83,274.62,33.0,31.3,Hook and Line,Lee and Sons,Would enjoy be west and someone guy.
Tenualosa ilisha,15.309368,86.437042,2023-07-29,70,289.0,53.0,30.5,Gillnet,Christensen-Myers,Key only film write commercial inside create color.
Catla catla,17.48842,96.411899,2025-01-18,175,486.48,57.4,26.4,Gillnet,"Watson, Fernandez and Wilson",Since memory return.
Labeo rohita,25.745145,73.181386,2023-03-19,55,69.62,7.4,25.7,Trawl,Johnson-Stephens,Ask far about medical.
Mystus tengara,20.958605,92.727632,2024-01-17,173,398.44,169.2,21.4,Trawl,Hart-Rogers,Enough short catch like peace discover.
Pangasius pangasius,14.997787,87.288619,2022-10-05,64,221.14,85.6,18.9,Purse Seine,Rivera PLC,Group story bit black start population heavy.
Clarias batrachus,15.229257,69.785718,2023-12-22,133,415.59,71.8,24.1,Cast Net,"Fry, Smith and Avila",Alone political effort opportunity threat according board.
Nemipterus japonicus,20.395029,80.511277,2025-02-23,291,927.82,153.1,22.2,Purse Seine,Jackson-Velez,Author place half friend dark.
Scomberomorus guttatus,8.600049,80.684847,2025-01-21,238,399.9,129.0,20.5,Hook and Line,Mason LLC,Five bag relationship action open set.
Catla catla,19.11167,72.69177,2024-06-23,203,657.55,104.1,29.4,Gillnet,Massey LLC,Experience would argue thought.
Pangasius pangasius,21.778678,75.42606,2023-01-06,248,387.7,21.2,26.8,Gillnet,"Chavez, Kent and Miller",Itself fish fast make eye.
Sardinella longiceps,35.999674,83.494639,2023-02-03,260,1139.44,146.9,27.6,Cast Net,West LLC,Direction cultural win.
Penaeus monodon,6.50714,76.663636,2025-09-10,275,1036.15,75.6,24.0,Cast Net,Lopez-Moore,Property carry training reveal to.
Pangasius pangasius,31.874013,93.691766,2024-10-11,295,904.92,15.1,21.2,Gillnet,Owens and Sons,School music artist else card who.
Labeo rohita,25.030506,90.454499,2025-04-29,189,872.85,54.5,26.9,Gillnet,"Johnson, Serrano and Hardin",Season themselves school.
Sardinella longiceps,18.192843,91.134197,2025-02-27,175,710.82,41.3,18.9,Trawl,Collins and Sons,Management walk must will laugh travel high.
Pangasius pangasius,14.841946,68.934417,2023-05-26,171,195.39,145.1,29.4,Trawl,Graham-Yates,Pattern other happy foot.
Labeo rohita,16.559688,88.369205,2023-05-07,138,568.9,30.7,29.9,Cast Net,Johnson Ltd,Less rule stop.
Clarias batrachus,35.672971,76.305124,2024-02-11,106,215.9,82.0,25.3,Cast Net,Hansen Inc,Write send only course method listen this.
Catla catla,25.545546,79.243316,2024-12-04,278,1359.84,28.6,27.9,Trawl,Lynch-Moore,Meet clear should call address such amount.
Labeo rohita,35.249096,81.066847,2023-09-15,6,11.49,11.4,25.4,Trawl,"Russell, Lee and Grant",For position nation change.
Penaeus monodon,34.725381,75.74154,2025-04-16,34,124.05,138.0,20.1,Trawl,Jacobs LLC,Special deep training spring term west quickly born.
Mystus tengara,18.440076,84.835393,2023-06-16,116,227.77,53.9,18.2,Trawl,Burns Inc,Beat follow both certainly protect office morning cup.
Penaeus monodon,7.248171,74.811148,2023-06-04,63,305.19,122.7,26.9,Gillnet,Alvarez-Weeks,Floor year note outside.
Penaeus monodon,25.927878,88.115913,2023-01-26,242,1076.53,130.8,30.7,Trawl,"Mccarty, Moore and Smith",Popular best firm seem price cold.
Sardinella longiceps,36.892805,90.869434,2023-06-29,115,35.43,106.7,23.7,Cast Net,"Sanchez, Chapman and Miller",Mr better whatever activity.
Clarias batrachus,9.552045,83.584071,2024-01-28,15,65.15,97.7,28.9,Hook and Line,Matthews-Sanchez,Ago allow difficult it fine.
Penaeus monodon,30.075716,91.159935,2025-08-17,38,177.38,110.6,27.0,Gillnet,Nunez and Sons,Low become true process.
Clarias batrachus,23.82066,71.089495,2025-01-09,85,201.19,8.1,19.7,Trawl,Hughes Inc,Message amount realize win stay.
Penaeus monodon,8.947446,91.589702,2023-02-27,1,2.42,15.1,30.5,Purse Seine,"Bartlett, Munoz and Chavez",Him buy statement which health year.
Labeo rohita,33.370841,95.116099,2025-03-16,197,263.03,68.7,30.8,Hook and Line,Meza-Mcneil,Record water show design.
Pangasius pangasius,22.71022,96.548732,2025-06-29,259,724.94,169.0,21.4,Gillnet,"Rodriguez, Martinez and Wise",High laugh remain sound hot firm instead.
Pangasius pangasius,17.945799,78.269954,2023-12-01,285,734.58,69.9,25.3,Trawl,"Elliott, Jackson and Gillespie",Keep control former case suggest he.
Scomberomorus guttatus,14.199838,70.297287,2025-01-03,127,145.71,75.9,26.8,Gillnet,Andrade Ltd,Current ok manage best.
Nemipterus japonicus,7.623514,69.838219,2024-04-23,6,13.0,28.1,27.1,Cast Net,"Johnson, Lewis and Johnson",Camera sort with cause loss authority.
Penaeus monodon,24.991175,80.154255,2024-04-22,53,213.81,64.2,23.1,Trawl,Howard-Thompson,Evening tree structure plant although state.
Pangasius pangasius,24.854509,88.011857,2023-04-04,237,431.01,152.9,25.6,Gillnet,"Thompson, Cobb and Baker",Near read support enter finish represent.
Mystus tengara,21.538091,91.811221,2025-03-20,291,792.52,64.5,23.5,Purse Seine,"King, Richardson and Clark",Necessary require price friend.
Sardinella longiceps,30.393233,85.286612,2025-07-03,154,157.93,14.2,18.2,Cast Net,"Harrison, Marshall and Weeks",Available television store plant career school election.
Tenualosa ilisha,7.80858,75.16828,2023-02-06,252,274.54,132.4,20.7,Hook and Line,"Miller, Cook and Gordon",It million should.
Sardinella longiceps,9.746356,86.316587,2024-05-26,71,43.2,45.1,23.9,Purse Seine,Bryant-Moyer,Common similar news within.
Labeo rohita,16.154307,70.73161,2024-09-28,258,579.3,130.6,23.0,Trawl,Walker-Bauer,Agency program sea service for line much light.
Catla catla,23.576282,93.529529,2023-07-01,164,116.88,54.5,31.4,Cast Net,Reyes PLC,Create mission south prepare.
Catla catla,36.69834,89.087143,2024-07-24,246,949.95,133.5,25.8,Gillnet,Matthews PLC,Movie political avoid other us.
Clarias batrachus,28.224605,95.236051,2025-08-07,179,356.37,120.6,19.1,Hook and Line,"Robertson, Moore and Schultz",Wind young other evidence area son.
Pangasius pangasius,35.47075,81.971202,2024-06-25,111,175.02,108.4,30.9,Gillnet,Montgomery-James,Itself argue big system later process speech half.
Clarias batrachus,11.252933,73.887015,2022-09-22,6,8.83,176.9,27.6,Hook and Line,"Thompson, Rivera and Castro",Floor sound pattern well.
Labeo rohita,6.473734,83.614422,2023-09-20,261,122.59,164.0,29.3,Cast Net,"Wallace, Torres and Pierce",Force air true local field none.
Nemipterus japonicus,15.91553,96.302371,2023-07-06,265,893.88,77.5,20.9,Gillnet,"Duran, Barrett and Owens",Choice ok institution until subject later public sing.
Scomberomorus guttatus,10.599011,78.108706,2025-08-19,214,713.88,136.3,18.7,Cast Net,Webster Ltd,Before simple fund water surface shoulder.
Clarias batrachus,35.832049,77.480265,2023-02-18,293,1189.08,157.0,18.3,Trawl,Rogers Group,Ability center analysis age what.
Pangasius pangasius,21.864681,72.121729,2022-11-08,152,513.87,110.3,29.4,Trawl,"Harris, Boyd and Buck",Human floor season recognize somebody dark.
Tenualosa ilisha,27.885883,72.014703,2025-05-16,86,365.73,191.1,21.6,Purse Seine,Vaughn-Dennis,Foreign value protect help.
Scomberomorus guttatus,29.639765,89.105681,2023-06-25,223,920.35,64.6,22.4,Cast Net,Williams PLC,Include big medical garden government.
Sardinella longiceps,31.979482,95.186304,2024-11-08,56,40.4,113.0,26.4,Cast Net,"Carrillo, Collier and Boyle",Without feel American past.
Scomberomorus guttatus,17.630562,71.128873,2024-02-05,8,23.07,16.3,23.0,Gillnet,Lee-Ortiz,Among politics cultural director those sometimes order.
Nemipterus japonicus,11.945426,76.465659,2023-04-05,255,209.98,95.4,22.4,Hook and Line,Farmer-Young,Director door history carry.
Mystus tengara,28.760019,91.453707,2022-10-15,44,29.97,179.4,30.6,Purse Seine,Wilkins-Walker,Top water own its visit.
Nemipterus japonicus,17.508629,74.146346,2023-01-03,91,137.06,66.9,23.0,Trawl,Trujillo Ltd,A memory newspaper experience.
Pangasius pangasius,11.973372,94.455656,2024-02-17,267,1132.86,52.9,30.3,Trawl,Mcguire-Jones,Attorney always guess small walk call.
Nemipterus japonicus,27.007386,93.042211,2024-07-30,104,442.11,39.4,21.3,Cast Net,Carlson-Rivera,Report sometimes enjoy land.
Catla catla,8.221228,85.088963,2023-05-15,191,92.82,135.9,25.3,Cast Net,White-Miles,Case challenge hand reason.
Catla catla,17.066018,73.293915,2023-07-23,158,625.41,74.0,20.4,Gillnet,"Leon, Chapman and Olson",Practice civil when financial.
Mystus tengara,32.412262,92.073561,2024-02-20,197,656.08,184.0,31.5,Hook and Line,Thompson-Wright,Thus situation herself prove half.
Clarias batrachus,36.874401,78.368292,2024-04-27,77,227.82,53.8,24.9,Purse Seine,"Krause, Steele and Little",Go message attorney social think win.
Sardinella longiceps,7.173538,74.431306,2024-05-08,152,670.96,44.1,21.8,Hook and Line,"Thomas, Le and Goodman",Central space perhaps then.
Pangasius pangasius,25.690841,93.881189,2024-02-03,135,489.72,179.8,29.4,Trawl,Peterson LLC,Leg southern again each.
Pangasius pangasius,8.70906,68.827473,2025-03-03,204,439.16,39.6,19.0,Cast Net,"Morrison, Baker and Johnson",Call item for parent moment.
Tenualosa ilisha,7.329385,92.980613,2023-01-25,285,63.81,128.5,19.1,Purse Seine,Herrera LLC,Outside hand bill phone.
Labeo rohita,31.244365,90.498232,2025-05-10,221,205.04,189.7,20.1,Gillnet,Walters-Adams,Gun investment way eat.
Pangasius pangasius,28.86721,79.591735,2024-06-21,124,165.3,183.7,30.6,Trawl,Anderson-Fuentes,Away film government improve outside identify.
Clarias batrachus,13.419701,77.053555,2023-10-18,26,22.08,122.9,29.4,Cast Net,"Zavala, Williams and Gilbert",All I avoid I happen choice big.
Clarias batrachus,24.415732,78.40912,2023-03-22,78,60.43,32.5,18.4,Trawl,Moore PLC,Avoid stuff close common huge.
Tenualosa ilisha,6.598099,94.439411,2025-07-28,189,506.5,7.1,28.1,Purse Seine,"Hawkins, Mccarthy and Hamilton",Deal painting among.
Catla catla,13.617923,88.469459,2024-09-06,65,274.41,70.5,31.5,Hook and Line,Kelly and Sons,Assume order fear long truth seven effort.
Penaeus monodon,30.780829,92.152672,2024-03-05,245,275.34,32.1,26.6,Gillnet,"Case, Richardson and Navarro",Miss contain several strategy agree none.
Labeo rohita,22.036481,91.265399,2024-09-03,78,53.63,52.8,24.2,Gillnet,"Johnson, Hopkins and Shields",Measure professor job however course condition.
Mystus tengara,26.029576,84.573925,2025-06-17,208,348.25,17.9,31.9,Cast Net,Park-Holmes,Fly each since thousand story.
Scomberomorus guttatus,7.62908,71.043509,2024-02-05,134,468.28,43.2,24.7,Hook and Line,Quinn LLC,Commercial recently join particularly.
Pangasius pangasius,33.78095,83.311537,2023-05-09,110,79.22,146.5,20.0,Hook and Line,"Mckenzie, Mosley and Guerrero",Shake million face represent rich late cultural.
Scomberomorus guttatus,14.896703,74.548994,2024-03-22,288,796.59,114.5,31.7,Trawl,"Hayes, Cross and Livingston",Lay born notice decade I certain suffer.
Mystus tengara,31.233862,78.589563,2023-07-29,74,340.3,105.7,18.6,Trawl,Wade PLC,Respond show box check staff this.
Tenualosa ilisha,8.417225,83.172107,2024-01-06,41,88.2,187.1,20.8,Purse Seine,"Davis, Joyce and Porter",Order where several occur decision instead.
Scomberomorus guttatus,26.644651,70.073454,2022-11-22,75,261.73,148.7,26.3,Cast Net,Sanchez-Wright,They join build father clear.
Catla catla,8.509434,87.296477,2025-03-01,156,599.2,93.6,20.8,Gillnet,Rivera LLC,Set open attack spring carry team.
Nemipterus japonicus,11.525072,73.169579,2022-11-17,296,517.57,148.3,21.4,Hook and Line,Marquez-Williamson,Individual begin music crime movie.
Tenualosa ilisha,16.364754,88.236831,2024-02-08,259,513.97,137.0,29.8,Purse Seine,English LLC,Necessary get it nation.
Nemipterus japonicus,20.46471,75.830789,2025-02-13,116,180.9,119.9,26.4,Gillnet,Long-Mitchell,Believe force wonder set organization.
Catla catla,36.860419,94.052585,2024-11-26,111,545.81,25.1,20.0,Purse Seine,Williams-Cruz,Dark oil production.
Sardinella longiceps,16.321953,77.467468,2024-03-06,200,733.12,189.1,29.0,Purse Seine,"Thomas, Myers and Singh",Hit southern role letter treat get learn.
Tenualosa ilisha,27.210805,90.551849,2024-12-05,120,305.41,172.3,27.7,Trawl,Morton and Sons,Eye full exactly receive student give he.
Nemipterus japonicus,9.966722,91.597337,2023-06-19,245,1172.02,193.5,20.2,Gillnet,Scott and Sons,Fight reach American official her.
Sardinella longiceps,26.717235,86.287755,2024-12-26,260,408.19,20.5,25.3,Cast Net,Duran-Ellis,Condition hard put.
Penaeus monodon,23.327069,96.153745,2025-03-24,276,414.35,96.6,29.8,Gillnet,Escobar-Schroeder,Mr phone fight their window close attention.
Sardinella longiceps,26.174054,79.8712,2024-05-03,195,223.27,45.9,19.6,Hook and Line,"Gardner, Dyer and Austin",Finish cell radio rise assume.
Clarias batrachus,26.237471,69.951604,2025-04-30,295,958.85,162.8,23.6,Cast Net,May Group,Former cover everything strategy way war.
Penaeus monodon,7.569535,87.305818,2023-07-27,126,226.27,107.6,31.0,Cast Net,Greer Group,Song network ever program.
Tenualosa ilisha,35.720469,82.319283,2025-04-27,65,183.11,45.1,20.6,Cast Net,"Hancock, Brown and Peters",Food air cover through eat opportunity environmental.
Sardinella longiceps,35.356061,70.928391,2025-05-28,198,813.43,133.5,26.8,Purse Seine,Sanford LLC,Traditional want keep good billion so final.
Clarias batrachus,24.952317,96.055051,2023-08-31,113,161.73,199.4,31.3,Cast Net,"Holland, Dickerson and Harris",Movement address environmental often.
Nemipterus japonicus,8.35914,76.643303,2024-06-17,66,63.61,134.0,29.9,Gillnet,Alvarez PLC,Family my across.
Scomberomorus guttatus,34.327167,69.342233,2025-07-22,188,212.3,116.2,21.3,Cast Net,Garcia PLC,Worker including history institution participant source win.
Catla catla,13.704812,94.641259,2023-10-23,144,507.26,26.6,25.8,Purse Seine,Cameron Ltd,Food money within catch level.
Nemipterus japonicus,23.451571,82.042843,2024-10-02,1,3.7,34.8,25.9,Hook and Line,Jones-Henderson,Nothing bag nation nation community radio trouble only.
Penaeus monodon,6.430598,81.325115,2025-04-28,58,140.76,44.1,18.1,Trawl,"Ramirez, Shaw and Kelly",North specific trade part officer boy artist.
Nemipterus japonicus,25.352264,83.940965,2023-09-05,144,563.09,6.1,24.4,Cast Net,Castaneda Group,Race officer view example.
Clarias batrachus,20.880763,87.506602,2022-11-21,164,355.99,25.2,20.0,Purse Seine,Jackson-Shaw,Tell moment occur stage.
Nemipterus japonicus,32.226668,85.01329,2025-04-07,135,199.4,104.3,23.5,Cast Net,"Green, Brown and Rice",Early everybody example example ten probably.
Mystus tengara,10.335134,85.86885,2024-12-11,25,7.43,86.8,31.1,Hook and Line,Brennan Group,World attention individual everyone someone range.
Scomberomorus guttatus,8.67183,94.613397,2023-07-19,201,878.78,55.1,25.7,Gillnet,"Patrick, Murray and Miller",Hair lose entire job support.
Nemipterus japonicus,24.432564,95.457097,2024-12-21,289,407.75,196.5,22.1,Trawl,Reid-Dennis,Hospital pass discussion cause.
Labeo rohita,10.091842,82.538286,2025-08-30,30,110.42,63.7,29.9,Trawl,Russell Group,Clearly news third reach shoulder boy few.
Nemipterus japonicus,17.324295,71.969093,2024-07-18,54,101.71,49.8,30.7,Purse Seine,Hendrix-Maynard,Myself radio me hit would.
Tenualosa ilisha,35.248723,77.404752,2024-10-23,13,51.01,97.1,23.4,Trawl,"Gardner, Kelly and Hurst",Mouth shoulder feeling pattern.
Labeo rohita,29.488376,72.767412,2024-01-12,8,36.34,66.6,29.6,Cast Net,"Hansen, Patterson and Schmidt",Oil blood authority student people.
Penaeus monodon,32.191633,83.583194,2025-07-12,255,527.27,186.5,30.7,Cast Net,Harrison-Sweeney,Enter after forward now.
Nemipterus japonicus,29.97316,78.888089,2024-12-20,294,1398.6,144.3,23.1,Cast Net,Kramer-Maldonado,Particularly watch charge.
Sardinella longiceps,24.704719,71.523637,2023-04-05,142,210.49,180.9,22.7,Hook and Line,Washington Inc,Paper kid evidence make if care treatment.
Catla catla,34.446597,91.04682,2023-06-26,291,1145.45,91.4,18.4,Cast Net,Lewis-Gibson,Today little culture maintain education to.
Clarias batrachus,19.520862,79.036148,2024-09-13,222,291.97,89.3,30.1,Gillnet,Willis Ltd,Kid person bit view someone common.
Catla catla,35.366664,76.009278,2025-03-13,57,70.87,142.5,30.4,Hook and Line,Patton Inc,Sell start green five.
Clarias batrachus,10.676641,79.054748,2023-09-13,186,72.62,185.3,30.3,Trawl,Gilbert-Goodman,Behind everything state health pick rich wide.
Penaeus monodon,6.209253,81.625918,2024-02-04,269,458.34,148.3,31.3,Hook and Line,Riley and Sons,Because training interview rich prepare next.
Sardinella longiceps,11.160716,69.752363,2024-08-16,244,429.28,119.8,28.9,Purse Seine,Brady-Roberts,Investment coach than baby.
Nemipterus japonicus,8.324138,81.742466,2023-11-04,239,893.09,144.5,22.1,Purse Seine,Fisher-Chen,General war his environment protect.
Penaeus monodon,12.456777,93.914755,2022-11-04,170,188.87,73.9,31.7,Trawl,"Bass, Williams and Larson",Bad offer reflect business sometimes store possible.
Nemipterus japonicus,27.841644,75.163901,2024-10-15,29,132.96,8.9,21.4,Cast Net,"Smith, Wheeler and Downs",Lawyer them past music.
Nemipterus japonicus,28.845008,72.982687,2023-04-20,205,238.9,33.9,30.1,Cast Net,Leonard-Horton,Contain senior page force partner throw public.
